Epoch,Training Set Accuracy, Generalization Set Accuracy,Training Set MSE, Generalization Set MSE
142,79.275,78.8,0.0751499,0.0799471
143,79.125,79.85,0.074694,0.0783058
144,79.2333,79.7,0.0760153,0.0781388
145,79.5833,80.675,0.0751949,0.0801484
146,79.4917,80,0.0758604,0.0806388
147,80.1333,80.55,0.0781673,0.0803887
148,80.0417,80.15,0.0762075,0.0806261
149,79.1917,78.825,0.0756615,0.0817409
150,79.575,79.125,0.0754649,0.0844144
151,79.775,80.975,0.0745524,0.0817885
152,79.5,80.225,0.0757836,0.0792864
153,79.8,80.85,0.0763286,0.0802099
154,80.05,80.6,0.0748283,0.0791208
155,79.45,80.625,0.0743756,0.0791859
156,79.8417,81.4,0.0759988,0.0837631
157,79.85,80.275,0.0758501,0.0789306
158,79.5583,79.05,0.076288,0.0803035
159,79.9583,80.45,0.0759388,0.0806509
160,79.9417,80.375,0.0745965,0.0829052
161,80.1417,79.7,0.0746221,0.0806248
162,79.8583,79.15,0.0752902,0.0793384
163,79.9833,80.5,0.0743541,0.0793428
164,79.8,81.175,0.0748247,0.0803721
165,79.8583,80.2,0.0753484,0.0783084
166,80.1083,80.425,0.074159,0.0814536
167,79.825,80.425,0.07541,0.0818722
168,79.8917,80.3,0.0747178,0.0809957
169,80.2417,79.8,0.0739653,0.0824566
170,79.9667,80.7,0.0743424,0.0835082
171,80.225,79.875,0.075205,0.0794353
172,80.0083,79.525,0.0748628,0.0797749
173,80.2167,79.675,0.0748405,0.0786744
174,79.625,80.075,0.0741772,0.0798233
175,80.1167,79.625,0.0740404,0.0786043
176,80.3833,80.675,0.0741677,0.0805149
177,80.075,80.35,0.0750742,0.0803575
178,80.3833,80.125,0.0747335,0.0804853
179,79.9667,79.175,0.0738162,0.0799391
180,80.2417,80.525,0.0743924,0.0819453
181,79.8833,79.6,0.0748592,0.0783921
182,79.5667,79.95,0.0753747,0.0796261
183,79.975,80.3,0.0747496,0.0793829
184,80.0167,80.375,0.0741026,0.0790656
185,80.1667,80.5,0.0743532,0.0776272
186,80,79.8,0.0746021,0.0756315
187,79.7083,79.975,0.0751524,0.0826933
188,80.4583,80.65,0.0735545,0.0776208
189,79.6917,81.45,0.0753908,0.0815728
190,79.6,80.825,0.0735746,0.0767175
191,79.925,81.35,0.0737552,0.0804541
192,79.5417,79.8,0.0739701,0.0765275
193,79.8917,82.075,0.0750932,0.0944748
194,79.8,79.05,0.0751137,0.0765618
195,80.1583,80.8,0.0739171,0.0774396
196,80.0167,80.225,0.0726169,0.0768988
197,80.1083,79.675,0.0740922,0.0773961
198,80.525,79.2,0.0740166,0.0765752
199,80.2667,79.325,0.0739324,0.0770738
200,80.2667,79.325,0.0739324,0.0770738

Training selesai!!! - >  Epochs yang dilakukan: 200 Validation Set Accuracy: 79.575 Validation Set MSE: 0.0801513
